"location","label","date","personnel","songs"
"Paris, France","Blue Marge","February 4, 1980","['Archie Shepp (ssts)', 'Roy Burrowes (t)', 'Hilton Ruiz (p)', 'Jack Gregg (b)', 'Freddie Waits (d)', 'Abbey Lincoln (v)']","['Sophisticated Lady', 'Golden Lady', 'Painted Lady', 'Throw It Away', 'What Are You Doing The Rest Of Your Life', 'Caged Bird']"
"Sage & Sound Studios, Hollywood, CA","Muse","December 15, 1980","['Bob Berg (ts)', 'Cedar Walton (p)', 'David Williams (b)', 'Billy Higgins (d)', 'Abbey Lincoln (v)']","['The Maestro', 'Rhythm-a-ning', 'Not In Love', 'Sabia [aka Song Of The Sabia]', 'In A Sentimental Mood', 'Blue Monk', 'Castles', 'On The Trail']"
"Stuttgart, Germany","[private recording]","January 9, 1982","['James Weidman (p)', 'Billy Johnson (b)', 'Mark Johnson (d)', 'Abbey Lincoln (v)']","[""Monkery's The Blues [lyric version of Blue Monk]"", 'Caged Bird', 'People On The Street', 'God Bless The Child', 'Sophisticated Lady', 'In A Sentimental Mood', 'The Maestro']"
"Den Haag, Netherlands","[private recording]","July 1982","['Archie Shepp (ts)', 'Mal Waldron (p)', 'Santi Debriano (b)', ""Marvin 'Smitty' Smith (d)"", 'Abbey Lincoln (v)']","['God Bless The Child', ""You're My Thrill"", 'When Malindy Sings']"
"Classic Sound, New York City","Enja","November 1983","['Steve Coleman (as)', 'James Weidman (p)', 'Billy Johnson (b)', 'Mark Johnson (d)', 'Jerry Gonzalez (per)', 'Arlene KnoxAbbey LincolnBemshee ShirerNaima Williams (v)']","['The River', 'Whistling Away The Dark', 'Talking To The Sun', 'You And I', 'People On The Street', ""You're My Thrill"", 'Prelude', 'A Wedding Song']"
"Peppermint Lounge, Orange, NJ","[radio broadcast]","July 29, 1984","['James Weidman (p)', 'Billy Johnson (b)', 'Mark Johnson (d)', 'Abbey LincolnBemshee ShirerCassandra Wilson (v)']","['Sophisticated Lady', 'In A Sentimental Mood', 'Throw It Away', 'God Bless The Child', 'Talking To The Sun', ""Little B's Poem [lyric version]"", 'Caged Bird', ""You're My Thrill"", 'How High The Moon', 'People On The Street', 'Painted Lady', 'Straight Ahead', 'Living Room', 'Ah-Leu-Cha', 'Prelude', 'A Wedding Song', 'What Are You Doing The Rest Of Your Life', 'I Got Thunder (And It Rings)', 'The River']"
"Peppermint Lounge, Orange, NJ","[radio broadcast]","August 16, 1986","['James Weidman (p)', 'Billy Johnson (b)', 'Mark Johnson (d)', 'Abbey LincolnBemshee ShirerCassandra Wilson (v)']","['The River', 'Whistling Away The Dark', 'Sophisticated Lady', 'In A Sentimental Mood', 'Throw It Away', 'God Bless The Child', 'Talking To The Sun', 'Golden Lady']"
"Universal Jazz Coalition, New York City","Enja","November 6 & 7, 1987","['Harold Vick (ts)', 'James Weidman (p)', 'Tarik Shah (b)', 'Mark Johnson (d)', 'Abbey Lincoln (v)']","['What A Little Moonlight Can Do', 'I Only Have Eyes For You', 'Gloomy Sunday', 'Crazy He Calls Me', 'Strange Fruit', 'Lover Man', 'These Foolish Things', ""I'll Be Seeing You"", 'Soul Eyes', 'Ill Wind', 'Gimme A Pigfoot', 'No More', 'God Bless The Child', ""Don't Explain"", ""For Heaven's Sake"", ""Please Don't Talk About Me When I'm Gone"", 'For All We Know']"
"","Novus","ca.  1989","['Geri Allen (p)', 'Abbey Lincoln (v)']","['For All We Know']"
"Alice Tully Hall, New York City","[private recording]","August 4, 1989","['Jimmy Heath (ts)', 'Abbey Lincoln (v)']","['[unknown titles]']"
"Systems Two Recording Studio, Brooklyn, NY","Verve","ca.  1990","['Steve Williamson (ts)', 'David Gilmore (g)', 'Julian Joseph (p)', 'Lonnie Plaxico (b)', 'Mark Mondésir (d)', 'Abbey Lincoln (v)']","['A Waltz For Grace']"
"RCA Studios, New York City","Verve","February 21 & 22, 1990","['Jerry DodgionJackie McLean (as)', 'Clark Terry (tfh)', 'Alain Jean-Marie (p)', 'Charlie Haden (b)', 'Billy Higgins (d)', 'Abbey Lincoln (v)', 'Ron Carter (con)']","['The World Is Falling Down', 'First Song (For Ruth)', 'You Must Believe In Spring', 'I Got Thunder (And It Rings)', 'How High The Moon', 'When Love Was You And Me [lyric version of The Summary]', 'Hi-Fly [lyric version]', 'Live For Life']"
"Fat Tuesday's, New York City","[private recording]","July 18, 1990","['James Weidman (p)', 'Tarik Shah (b)', 'Mark Johnson (d)', 'Abbey Lincoln (v)']","['The Heel', 'Ten Cents A Dance', 'Hi-Fly [lyric version]', 'Live For Life', ""For Heaven's Sake""]"
"BMG Studios, New York City","Antilles","September 5 & 6, 1990","['Frank Morgan (ssas)', 'Roy Hargrove (tfh)', 'George Cables (p)', 'David Williams (b)', 'Lewis Nash (d)', 'Abbey Lincoln (v)']","['When You Wish Upon A Star', 'Footprints', 'Ten Cents A Dance', 'Everything Happens To Me', ""Helen's Song"", 'Pannonica', 'Wholly Earth', 'A Flower Is A Lovesome Thing', 'Lullaby']"
"BMG Studios, New York City","Verve","February 25 & 26, 1991","['Stan Getz (ts)', 'Hank Jones (p)', 'Charlie Haden (b)', 'Mark Johnson (d)', 'Maxine Roach (vl)', 'Abbey Lincoln (v)']","['Bird Alone', ""I'm In Love"", 'You Gotta Pay The Band', 'Brother, Can You Spare A Dime?', 'You Made Me Funny', 'And How I Hoped For Your Love', ""When I'm Called Home"", 'Summer Wishes, Winter Dreams', 'Up Jumped Spring [lyric version]', 'A Time For Love']"
"Alice Tully Hall, New York City","[radio broadcast]","August 7, 1991","['Jackie McLean (as)', 'Wynton Marsalis (t)', 'Cedar Walton (p)', 'David Williams (b)', 'Billy Higgins (d)', 'Abbey Lincoln (v)']","['How High The Moon', 'The World Is Falling Down', 'The Maestro', 'Bird Alone', 'Wholly Earth']"
"Condon's, New York City","[private recording]","October 29, 1991","['Abbey Lincoln (v)']","['I Got Thunder (And It Rings)', 'You Gotta Pay The Band', 'Brother, Can You Spare A Dime?', 'You Made Me Funny', 'When Love Was You And Me [lyric version of The Summary]', 'How High The Moon', ""When I'm Called Home""]"
"Condon's, New York City","[private recording]","October 31, 1991","['Abbey Lincoln (v)']","['I Got Thunder (And It Rings)', 'You Gotta Pay The Band', 'Brother, Can You Spare A Dime?', 'You Made Me Funny', 'When Love Was You And Me [lyric version of The Summary]', 'How High The Moon', 'The World Is Falling Down']"
"BMG Studios, New York City","Verve","February 24 & 25, 1992","['Stanley Turrentine (ts)', 'J. J. Johnson (tb)', 'Rodney Kendrick (p)', 'Marcus McLaurine (b)', 'Yoron IsraelGrady Tate (d)', ""Babatunde OlatunjiKehinde O'UhuruSulé O'UhuruGordy Ryan (per)"", 'Maxine Roach (vl)', ""Abbey LincolnThe Noel SingersCleotha StapleMavis StapleRoebuck 'Pops' Staple (v)"", 'Randolph Noel (con)']","['Rainbow', 'Evalina Coffey (The Legend Of)', 'Story Of My Father', 'A Child Is Born', 'People In Me', 'A Circle Of Love', 'Jungle Queen', 'The Merry Dancer', ""Devil's Got Your Tongue"", 'Spring Will Be A Little Late This Year', 'The Music Is The Magic']"
"Condon's, New York City","[private recording]","March 20, 1992","['Abbey Lincoln (v)']","['The Music Is The Magic', 'Ten Cents A Dance', 'Throw It Away', 'How High The Moon', 'Brother, Can You Spare A Dime?', ""I'm In Love"", 'Evalina Coffey (The Legend Of)', 'The World Is Falling Down']"
"Theaterhaus, Jazzgipfel, Stuttgart, Germany","[television broadcast]","July 5, 1992","['Rodney Kendrick (p)', 'Billy Johnson (b)', 'Mark Johnson (d)', 'Abbey Lincoln (v)']","['The Music Is The Magic', 'Bird Alone', 'Throw It Away', ""I'm In Love"", 'You Gotta Pay The Band', 'The Nearness Of You', 'Brother, Can You Spare A Dime?', 'Rhythm-a-ning', 'The World Is Falling Down', ""For Heaven's Sake"", 'Wholly Earth', 'Tender As A Rose']"
"Studio Davout, Paris, France","Verve","October 4-6, 1992","['Hank Jones (p)', 'Abbey Lincoln (v)']","['A Part Of Me', 'There Are Such Things', 'When There Is Love', 'Black Butterfly', 'Angel Face', 'The Nearness Of You', ""Can't Help Singing"", 'Close Your Eyes', 'I Should Care', 'You Came A Long Way From St. Louis', ""C'est Si Bon"", 'Jitterbug Waltz', 'Time After Time', ""You Won't Forget Me"", 'First Came A Woman']"
